Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
669,669,0,0707070707070707,ff
670,670,0,0707070707070707,ff
671,671,0,0707070707070707,ff
672,672,0,0707070707070707,ff
673,673,0,0707070707070707,ff
674,674,0,0707070707070707,ff
675,675,0,0707070707070707,ff
676,676,0,0707070707070707,ff
677,677,0,0707070707070707,ff
678,678,0,0707070707070707,ff
679,679,0,0707070707070707,ff
680,680,0,0707070707070707,ff
681,681,0,0707070707070707,ff
682,682,0,0707070707070707,ff
683,683,0,0707070707070707,ff
684,684,0,0707070707070707,ff
685,685,0,0707070707070707,ff
686,686,0,0707070707070707,ff
687,687,0,0707070707070707,ff
688,688,0,0707070707070707,ff
689,689,0,0707070707070707,ff
690,690,0,0707070707070707,ff
691,691,0,0707070707070707,ff
692,692,0,0707070707070707,ff
693,693,0,0707070707070707,ff
694,694,0,0707070707070707,ff
695,695,0,0707070707070707,ff
696,696,0,0707070707070707,ff
697,697,0,0707070707070707,ff
698,698,0,0707070707070707,ff
699,699,0,0707070707070707,ff
700,700,0,0707070707070707,ff
701,701,0,0707070707070707,ff
702,702,0,0707070707070707,ff
703,703,0,0707070707070707,ff
704,704,0,0707070707070707,ff
705,705,0,0707070707070707,ff
706,706,0,0707070707070707,ff
707,707,0,0707070707070707,ff
708,708,0,0707070707070707,ff
709,709,0,0707070707070707,ff
710,710,0,0707070707070707,ff
711,711,0,0707070707070707,ff
712,712,0,0707070707070707,ff
713,713,0,0707070707070707,ff
714,714,0,0707070707070707,ff
715,715,0,0707070707070707,ff
716,716,0,0707070707070707,ff
717,717,0,0707070707070707,ff
718,718,0,0707070707070707,ff
719,719,0,0707070707070707,ff
720,720,0,0707070707070707,ff
721,721,0,0707070707070707,ff
722,722,0,0707070707070707,ff
723,723,0,0707070707070707,ff
724,724,0,0707070707070707,ff
725,725,0,0707070707070707,ff
726,726,0,0707070707070707,ff
727,727,0,0707070707070707,ff
728,728,0,0707070707070707,ff
729,729,0,0707070707070707,ff
730,730,0,0707070707070707,ff
731,731,0,0707070707070707,ff
732,732,0,0707070707070707,ff
733,733,0,0707070707070707,ff
